"datetime","change"
2021-03-18,11.3999999999999
2021-03-19,-4.18000000000052
2021-03-20,-5.04000000000258
2021-03-21,-6.6000000000015
2021-03-22,-6.55999999999869
2021-03-23,-9.00000000000205
2021-03-24,8.47000000000105
2021-03-25,5.44000000000278
2021-03-26,7.70000000000095
2021-03-27,-4.38000000000017
2021-03-28,13.199999999998
2021-03-29,13.049999999998
2021-03-30,3.90000000000015
2021-03-31,7.66999999999973
2021-04-01,-10.9199999999996
2021-04-02,-22.5
2021-04-03,-4.08000000000015
2021-04-04,1.00000000000051
2021-04-05,4.15000000000094
2021-04-06,4.50000000000017
2021-04-07,7.0399999999986
2021-04-08,4.79999999999905
2021-04-09,7.27999999999855
2021-04-10,18.4599999999994
2021-04-11,-9.75999999999806
2021-04-12,-2.1599999999994
